,Area of Expertise,Bio,Website
Elon Musk,"Elon Musk co-founded and leads Tesla, SpaceX, Neuralink and The Boring Company. As the co-founder and CEO of Tesla, Elon leads all product design, engineering and global manufacturing of the company's electric vehicles, battery products and solar energy products.","Elon Reeve Musk FRS is an entrepreneur and business magnate. He is the founder, CEO, and Chief Engineer at SpaceX; early stage investor, CEO, and Product Architect of Tesla, Inc.; founder of The Boring Company; and co-founder of Neuralink and OpenAI.",https://www.tesla.com/elon-musk
Adam Silver,Commissioner of the National Basketball Association (NBA),Adam Silver is an American lawyer and sports executive who is the fifth and current commissioner of the National Basketball Association.,https://www.instagram.com/adamsilvernba/
Dan Katz,"Social Media Influencer, Journalism","He is a journalist better known by his nickname Big Cat, probably best recognized from working as one of the hosts of the podcast “Pardon My Take”, which airs on the Barstool Sports network.",https://twitter.com/barstoolbigcat?lang=en
Paul George,Professional basketball player for the Los Angeles Clippers,"Paul Clifton Anthony George is an American professional basketball player for the Los Angeles Clippers of the National Basketball Association. Nicknamed 'PG13', he is a seven-time NBA All-Star and six-time member of the All-NBA Team, as well as a four-time member of the NBA All-Defensive Team.",https://www.instagram.com/ygtrece/
Ken Kutaragi,"Engineer technologist, businessman","Ken Kutaragi is a Japanese engineering technologist and businessman. He is the former chairman and CEO of Sony Interactive Entertainment, the video game division of Sony Corporation, and current president and CEO of Cyber AI Entertainment.",https://relationshipscience.com/person/ken-kutaragi-3288518
Stephen Hillenburg,"Animator, writer, and marine science educator",Stephen McDannell Hillenburg was an American animator and marine science educator. He is best remembered for creating the Nickelodeon animated television series SpongeBob SquarePants.,https://www.nickanimation.com/stephen-hillenburg-spongebob-squarepants
Fone Pengnate,Data mining and business analytics,Supavich (Fone) Pengnate is an Assistant Professor at North Dakota State University,https://www.ndsu.edu/business/our_people/directory/spengate/
Limin Zhang,Text mining and machine learning of corporate financial documents,Limin Zhang is an Assistant Professor at North Dakota State University,https://www.ndsu.edu/business/our_people/directory/lzhang/
Mitch Maxwell,"Human Anatomy, Physiology, Biology, and Physical Science","Mitchell Maxwell is a science instructor at Marshall High School in Marshall, Minnesota. He teaches Human Anatomy, Physiology, Biology, and Physical Science as well as coaching football and baseball",https://www.marshall.k12.mn.us/domain/114
Ryan Reynolds,"Actor, comedian, and film producer","Ryan Rodney Reynolds is a Canadian actor, comedian, and film producer. He began his career starring in the Canadian teen soap opera Hillside, and had minor roles before landing the lead role on the sitcom Two Guys and a Girl between 1998 and 2001.",https://twitter.com/VancityReynolds?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
